Order,Superfamily,Species,character_data,Genus
Primates,Cercopithecoidea,Trachypithecus_phayrei,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_pileatus,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_poliocephalus,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_shortridgei,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_vetulus,G,Trachypithecus
Primates,Lemuroidea,Varecia_variegata,G,Varecia
Lagomorpha,NA,Oryctolagus_cuniculus,G,Oryctolagus
Rodentia,NA,Mus_musculus,G,Mus
Scandentia,NA,Tupaia_gracilis,D-P,Tupaia
Scandentia,NA,Tupaia_longipes,D-P,Tupaia
Scandentia,NA,Tupaia_minor,D-P,Tupaia
Scandentia,NA,Tupaia_montana,D-P,Tupaia
Scandentia,NA,Tupaia_tana,D-P,Tupaia
