Genus,Genus_species,Common_name,superfamily,IVSO,main_SO,calculation_main_SO,Main2,foraging_style
Pan,Pan_paniscus,Bonobo / Gracile(Pygmy) Chimpanzee,Hominoidea,none,FFMM,1,FFMM,groups
Pan,Pan_troglodytes,Chimpanzee,Hominoidea,none,FFMM,1,FFMM,solitary_groups
Papio,Papio_anubis,Olive baboon,Cercopithecoidea,wp,FFMM,0.9,FFMM,groups
Papio,Papio_cynocephalus,Yellow baboon,Cercopithecoidea,both,FFMM,0.896551724,FFMM,groups
Papio,Papio_hamadryas,Hamadryas baboon,Cercopithecoidea,both,MFF,0.5,FFMM,groups
Papio,Papio_papio,Guinea baboon,Cercopithecoidea,wp,FFMM,0.726530612,FFMM,groups
Papio,Papio_ursinus,Chacma baboon,Cercopithecoidea,both,FFMM,0.883333333,FFMM,groups
Perodicticus,Perodicticus_potto,Western african Potto,Lorisoidea,wp,solitary,0.934579439,solitary,solitary
Phaner,Phaner_furcifer,Masoala Fork-Marked Lemur,Lemuroidea,wp,MF,0.846153846,MF,solitary
Procolobus,Procolobus_badius,Upper Guinea Red Colobus / Red Colobus monkey,Cercopithecoidea,none,FFMM,1,FFMM,groups
Procolobus,Procolobus_kirkii,Kirk's Red Colobus,Cercopithecoidea,wp,FFMM,0.9,FFMM,groups
Procolobus,Procolobus_rufomitratus,Oustalet's Red Colobus,Cercopithecoidea,none,MFF,1,MFF,groups
Procolobus,Procolobus_rufomitratus,Tana River Red Colobus,Cercopithecoidea,wp,MFF,0.5,FFMM,groups
Pithecia,Pithecia_aequatorialis,Equatorial Saki,Ceboidea,both,MF,0.545454545,MF,groups
Pithecia,Pithecia_chrysocephala,Golden-faced Saki,Ceboidea,none,MFF,1,MFF,groups
Pithecia,Pithecia_irrorata,Gray's Bald-faced Saki,Ceboidea,wp,MFF,0.6,MFF,groups
Pithecia,Pithecia_pithecia,White-faced Saki,Ceboidea,both,MF,0.689655172,MF,groups
Callicebus,Callicebus_discolor,Red-crowned Titi Monkey,Ceboidea,wp,MF,0.769230769,MF,groups
Callicebus,Callicebus_oenanthe,Andean Titi Monkey,Ceboidea,none,MF,1,MF,groups
Pongo,Pongo_pygmaeus,Western Bornean Orangutan,Hominoidea,wp,solitary,0.955223881,solitary,solitary_groups
