vertlife species,original names,updated names,present in tree,changed names
Allactaga sibirica,Chlorocebus_aethiops,Chlorocebus aethiops,TRUE,Chlorocebus_aethiops
Allactaga tetradactyla,Chlorocebus_aethiops,Chlorocebus aethiops,TRUE,Chlorocebus_aethiops
Allactaga toussi,Chlorocebus_aethiops,Chlorocebus aethiops,TRUE,Chlorocebus_aethiops
Allactaga vinogradovi,Chlorocebus_aethiops,Chlorocebus aethiops,TRUE,Chlorocebus_aethiops
Allactaga williamsi,Chlorocebus_pygerythrus,Chlorocebus pygerythrus,TRUE,Chlorocebus_pygerythrus
Allactodipus bobrinskii,Chlorocebus_pygerythrus,Chlorocebus pygerythrus,TRUE,Chlorocebus_pygerythrus
Allenopithecus nigroviridis,Chlorocebus_pygerythrus,Chlorocebus pygerythrus,TRUE,Chlorocebus_pygerythrus
Allocebus trichotis,Chlorocebus_pygerythrus,Chlorocebus pygerythrus,TRUE,Chlorocebus_pygerythrus
Allocricetulus curtatus,Colobus_angolensis,Colobus angolensis,TRUE,Colobus_angolensis
Allocricetulus eversmanni,Colobus_angolensis,Colobus angolensis,TRUE,Colobus_angolensis
Alouatta arctoidea,Colobus_angolensis,Colobus angolensis,TRUE,Colobus_angolensis
Alouatta belzebul,Colobus_angolensis,Colobus angolensis,TRUE,Colobus_angolensis
Alouatta caraya,Colobus_angolensis,Colobus angolensis,TRUE,Colobus_angolensis
Alouatta discolor,Colobus_angolensis,Colobus angolensis,TRUE,Colobus_angolensis
Alouatta guariba,Colobus_angolensis,Colobus angolensis,TRUE,Colobus_angolensis
Alouatta juara,Colobus_guereza,Colobus guereza,TRUE,Colobus_guereza
Alouatta macconnelli,Colobus_guereza,Colobus guereza,TRUE,Colobus_guereza
Alouatta nigerrima,Colobus_guereza,Colobus guereza,TRUE,Colobus_guereza
Alouatta palliata,Colobus_guereza,Colobus guereza,TRUE,Colobus_guereza
Alouatta pigra,Colobus_guereza,Colobus guereza,TRUE,Colobus_guereza
Alouatta puruensis,Colobus_guereza,Colobus guereza,TRUE,Colobus_guereza
Alouatta sara,Colobus_guereza,Colobus guereza,TRUE,Colobus_guereza
Alouatta seniculus,Colobus_polykomos,Colobus polykomos,TRUE,Colobus_polykomos
Alouatta ululata,Colobus_satanas,Colobus satanas,TRUE,Colobus_satanas
Alticola albicaudus,Colobus_satanas,Colobus satanas,TRUE,Colobus_satanas
Alticola argentatus,Colobus_satanas,Colobus satanas,TRUE,Colobus_satanas
Alticola barakshin,Colobus_vellerosus,Colobus vellerosus,TRUE,Colobus_vellerosus
Alticola lemminus,Daubentonia_madagascariensis,Daubentonia madagascariensis,TRUE,Daubentonia_madagascariensis
Alticola macrotis,Erythrocebus_patas,Erythrocebus patas,TRUE,Erythrocebus_patas
Alticola montosa,Erythrocebus_patas,Erythrocebus patas,TRUE,Erythrocebus_patas
Alticola olchonensis,Erythrocebus_patas,Erythrocebus patas,TRUE,Erythrocebus_patas
Alticola roylei,Erythrocebus_patas,Erythrocebus patas,TRUE,Erythrocebus_patas
Alticola semicanus,Eulemur_fulvus_collaris,Eulemur fulvus,TRUE,Eulemur_fulvus
Alticola stoliczkanus,Eulemur_fulvus_collaris,Eulemur fulvus,TRUE,Eulemur_fulvus
Alticola strelzowi,Eulemur_macaco_flavifrons,Eulemur macaco,TRUE,Eulemur_macaco
Alticola tuvinicus,Eulemur_fulvus_fulvus,Eulemur fulvus,TRUE,Eulemur_fulvus
Amblysomus corriae,Eulemur_macaco,Eulemur macaco,TRUE,Eulemur_macaco
Amblysomus hottentotus,Eulemur_mongoz,Eulemur mongoz,TRUE,Eulemur_mongoz
Amblysomus marleyi,Eulemur_rubriventer,Eulemur rubriventer,TRUE,Eulemur_rubriventer
Amblysomus robustus,Eulemur_fulvus_rufus,Eulemur fulvus,TRUE,Eulemur_fulvus
Amblysomus septentrionalis,Eulemur_fulvus_rufus,Eulemur fulvus,TRUE,Eulemur_fulvus
Ametrida centurio,Eulemur_fulvus_rufus,Eulemur fulvus,TRUE,Eulemur_fulvus
Ammodillus imbellis,Galagoides_zanzibaricus,Galagoides zanzibaricus,TRUE,Galagoides_zanzibaricus
Ammodorcas clarkei,Gorilla_beringei,Gorilla beringei,TRUE,Gorilla_beringei
Ammospermophilus harrisii,Gorilla_beringei,Gorilla beringei,TRUE,Gorilla_beringei
Ammospermophilus interpres,Gorilla_gorilla_gorilla,Gorilla gorilla,TRUE,Gorilla_gorilla
Ammospermophilus leucurus,Gorilla_gorilla_gorilla,Gorilla gorilla,TRUE,Gorilla_gorilla
Ammospermophilus nelsoni,Gorilla_gorilla_gorilla,Gorilla gorilla,TRUE,Gorilla_gorilla
Ammotragus lervia,Gorilla_gorilla_gorilla,Gorilla gorilla,TRUE,Gorilla_gorilla
Amorphochilus schnablii,Gorilla_gorilla_gorilla,Gorilla gorilla,TRUE,Gorilla_gorilla
Amphinectomys savamis,Gorilla_gorilla_gorilla,Gorilla gorilla,TRUE,Gorilla_gorilla
Anathana ellioti,Hapalemur_griseus_alaotrensis,Hapalemur griseus,TRUE,Hapalemur_griseus
Andalgalomys olrogi,Hapalemur_aureus,Hapalemur aureus,TRUE,Hapalemur_aureus
Andalgalomys pearsoni,Hapalemur_griseus,Hapalemur griseus,TRUE,Hapalemur_griseus
Andinomys edax,Hapalemur_griseus_meridionalis,Hapalemur griseus,TRUE,Hapalemur_griseus
Anisomys imitator,Bunopithecus_hoolock,Hoolock hoolock,TRUE,Hoolock_hoolock
Anomalurus beecrofti,Bunopithecus_hoolock,Hoolock hoolock,TRUE,Hoolock_hoolock
Anomalurus derbianus,Bunopithecus_hoolock,Hoolock hoolock,TRUE,Hoolock_hoolock
Anomalurus pelii,Bunopithecus_hoolock,Hoolock hoolock,TRUE,Hoolock_hoolock
Anomalurus pusillus,Bunopithecus_hoolock,Hoolock hoolock,TRUE,Hoolock_hoolock
Anonymomys mindorensis,Bunopithecus_hoolock,Hoolock hoolock,TRUE,Hoolock_hoolock
