sp.pop,Genus_species,Genus,Common_name,Population,Habitat_type,Habitat_open,Habitat_closed,Habitat_cat,Habitat_heterogenity,Activity_pattern,DisperseM,DisperseF,solitaryM,solitaryF,Solitary,MF,MF_adult_off,MFF,FMM,FFMM,FF,MM,Sex_specific_group,Sex_specific_solitaryM,Sex_specific_solitaryF,Sibling,Nbr_of_studies,Nbr_social_units,Nbr_papers_for_each_field_sites,IVSO,main_SO,calculation_main_SO,foraging_style,level_of_society,Disruption,Locomotion,mean_Male_Rowe,mean_Female_Rowe,mean_other_Rowe,sd_Male_Rowe,sd_Female_Rowe,sd_other_Rowe,mean_Fruits_rowe,mean_Seeds_rowe,mean_Leaves_rowe,mean_Flowers_rowe,mean_Animal_rowe,sd_Fruits_rowe,sd_Seeds_rowe,sd_Leaves_rowe,sd_Flowers_rowe,sd_Animals_rowe
pop,Pan_troglodytes,Pan,Chimpanzee,"Mahale Mountains, Tanzania",Forest,0,1,closed,1,Diurnal, , ,,,,,,,,1,,,,, , , ,1,1,none,FFMM,1,groups,ff,yes,BOTH,48.1975,40.075, ,9.577892513,8.429066773, ,66.11428571,3.55,14.22,3.1,1.8,11.19157847,4.87903679,5.321372004,3.315116891, 
pop,Pan_troglodytes,Pan,Chimpanzee,"Gombe National Park, Tanzania",Forest_Grassland,1,1,both,2,Diurnal, , ,,,,,,,,2,,,,, , , ,2,2,none,FFMM,1,groups,ff,none,BOTH,48.1975,40.075, ,9.577892513,8.429066773, ,66.11428571,3.55,14.22,3.1,1.8,11.19157847,4.87903679,5.321372004,3.315116891, 
pop,Pan_troglodytes,Pan,Chimpanzee,"Bossou, Guinea",Artificial_Forest,0,1,closed,2,Diurnal, , ,,,,,,,,1,,,,, , , ,1,1,none,FFMM,1,groups,ff,yes,BOTH,48.1975,40.075, ,9.577892513,8.429066773, ,66.11428571,3.55,14.22,3.1,1.8,11.19157847,4.87903679,5.321372004,3.315116891, 
pop,Pan_troglodytes,Pan,Chimpanzee,"Budongo Forest, Uganda",Forest,0,1,closed,1,Diurnal, , ,,,,,,,,1,,,,, , , ,1,1,none,FFMM,1,groups,ff,none,BOTH,48.1975,40.075, ,9.577892513,8.429066773, ,66.11428571,3.55,14.22,3.1,1.8,11.19157847,4.87903679,5.321372004,3.315116891, 
pop,Pan_troglodytes,Pan,Chimpanzee,"Gashaka-Gumti National Park, Nigeria",Forest,0,1,closed,1,Diurnal, , ,,,,,,,,1,,,,, , , ,1,1,none,FFMM,1,solitary_groups,ff,none,BOTH,48.1975,40.075, ,9.577892513,8.429066773, ,66.11428571,3.55,14.22,3.1,1.8,11.19157847,4.87903679,5.321372004,3.315116891, 
sp,Papio_anubis,Papio,Olive baboon, ,Woodland_Grassland_Rocky_Forest_Savanna_Wetland,1,1,both,3,Diurnal, , , , , , , ,2, ,18, , , , , , ,15,20, ,wp,FFMM,0.9,groups,ff,none,BOTH,23.8375,12.82, ,2.558441909,0.83042158, ,29.26666667,9.233333333,22.41666667,16.625,5.25,16.41787644,4.675824348,16.30465169,11.62880762,5.678908346
pop,Papio_anubis,Papio,Olive baboon,"Laikipia Plateau, Kenya",Woodland_Grassland_Rocky,1,1,both,3,Diurnal, , , , , , , , , ,5, , , , , , , ,5,4,none,FFMM,1,groups,one,none,BOTH,23.8375,12.82, ,2.558441909,0.83042158, ,29.26666667,9.233333333,22.41666667,16.625,5.25,16.41787644,4.675824348,16.30465169,11.62880762,5.678908346
pop,Papio_anubis,Papio,Olive baboon,"Awash National Park, Ethiopia",Savanna_Forest,1,1,both,2,Diurnal, , , , , , , , , ,2, , , , , , , ,2,2,none,FFMM,1,groups,one,none,BOTH,23.8375,12.82, ,2.558441909,0.83042158, ,29.26666667,9.233333333,22.41666667,16.625,5.25,16.41787644,4.675824348,16.30465169,11.62880762,5.678908346
pop,Papio_anubis,Papio,Olive baboon,"Gilgil, Kenya",Grassland_Rocky,1,0,open,2,Diurnal, , , , , , , , , ,2, , , , , , , ,2,2,none,FFMM,1,groups,one,none,BOTH,23.8375,12.82, ,2.558441909,0.83042158, ,29.26666667,9.233333333,22.41666667,16.625,5.25,16.41787644,4.675824348,16.30465169,11.62880762,5.678908346
pop,Papio_anubis,Papio,Olive baboon,"Masai Mara National Park, Kenya",Woodland_Grassland,1,1,both,2,Diurnal, , , , , , , , , ,2, , , , , , , ,2,2,none,FFMM,1,groups,one,none,BOTH,23.8375,12.82, ,2.558441909,0.83042158, ,29.26666667,9.233333333,22.41666667,16.625,5.25,16.41787644,4.675824348,16.30465169,11.62880762,5.678908346
pop,Papio_anubis,Papio,Olive baboon,"Gombe Stream National Park, Tanzania",Wetland_Grassland,1,1,both,2,Diurnal, , , , , , , ,1, ,7, , , , , , , ,8,3,wp,FFMM,0.875,groups,ff,none,BOTH,23.8375,12.82, ,2.558441909,0.83042158, ,29.26666667,9.233333333,22.41666667,16.625,5.25,16.41787644,4.675824348,16.30465169,11.62880762,5.678908346
pop,Papio_anubis,Papio,Olive baboon,"Gashaka-Gumti National Park, Nigeria",Grassland_Forest,1,1,both,2,Diurnal, , , , , , , ,1, , , , , , , , , ,1,2,none,MFF,1,groups,one,none,BOTH,23.8375,12.82, ,2.558441909,0.83042158, ,29.26666667,9.233333333,22.41666667,16.625,5.25,16.41787644,4.675824348,16.30465169,11.62880762,5.678908346
sp,Papio_cynocephalus,Papio,Yellow baboon, ,Grassland_Rocky_Wetland_Woodland_Forest_Savanna,1,1,both,4,Diurnal, , , , , , , ,3, ,26, , , , , , ,17,29, ,both,FFMM,0.896551724,groups,ff,none,T,23.43333333,11.1295, ,2.07926269,1.08965155, ,22.26666667,15.95,13.83333333,4.533333333,4.333333333,11.81707804,1.767766953,1.258305739,1.285820101,4.932882862
pop,Papio_cynocephalus,Papio,Yellow baboon,"Gilgil, Kenya",Grassland_Rocky,1,0,open,2,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,ff,none,T,23.43333333,11.1295, ,2.07926269,1.08965155, ,22.26666667,15.95,13.83333333,4.533333333,4.333333333,11.81707804,1.767766953,1.258305739,1.285820101,4.932882862
pop,Papio_cynocephalus,Papio,Yellow baboon,"Okavango Delta, Botsowana",Grassland_Wetland,1,1,both,2,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,one,none,T,23.43333333,11.1295, ,2.07926269,1.08965155, ,22.26666667,15.95,13.83333333,4.533333333,4.333333333,11.81707804,1.767766953,1.258305739,1.285820101,4.932882862
