"","sp.pop","Genus_species","Common_name","Population","Habitat_type","Habitat_open","Habitat_closed","Habitat_cat","Habitat_heterogenity","Activity_pattern","DisperseM","DisperseF","solitaryM","solitaryF","Solitary","MF","MF_adult_off","MFF","FMM","FFMM","FF","MM","Sex_specific_group","Sex_specific_solitaryM","Sex_specific_solitaryF","Sibling","Nbr_of_studies","Nbr_social_units","Nbr_papers_for_each_field_sites","IVSO","Main1","Main2","calculation_main_SO","foraging_style","level_of_society","Disruption","Locomotion","mean_Male_all","mean_Female_all","mean_other_all","sd_Male_all","sd_Female_all","sd_other_all","mean_Fruits_all","mean_Seeds_all","mean_Leaves_all","mean_Flowers_all","mean_Animal_all","sd_Fruits_all","sd_Seeds_all","sd_Leaves_all","sd_Flowers_all","sd_Animals_all","IVSO_prop","IVSOint","superfamily"
"452","pop","Loris_lydekkerianus","Slender Loris","Tamil Nadu, India","Forest",0,1,"closed",1,"Nocturnal",NA,NA,10,6,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1,"wp","MF","MF",0.538461538,"solitary","one","none","BOTH",0.24405,0.23788,0.27,0.04158258,0.044732404,NA,5.5,NA,20,83.5,97,6.363961031,NA,NA,NA,0,0.461538462,6,"Lorisoidea"
"454","sp","Macaca_arctoides","Stump-tailed Macaque"," ","Cave_Forest_Rocky_Shrubland",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,3,NA,"none","FFMM","FFMM",1,"groups","one","yes","BOTH",12.2,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"455","pop","Macaca_arctoides","Stump-tailed Macaque","Wat Khuha Santayaram monastery, Thailand","Cave_Forest",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","yes","BOTH",12.2,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"456","pop","Macaca_arctoides","Stump-tailed Macaque","Tanaxpillo Island, Mexico","Forest_Rocky_Shrubland",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,"none","FFMM","FFMM",1,"groups","one","yes","BOTH",12.2,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"457","sp","Macaca_assamensis","Assam(ese) Macaque"," ","Artificial_Forest_Shrubland",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,13,32,NA,"none","FFMM","FFMM",1,"groups","ff","yes","AR",11.8,8.3875,NA,1.542724862,1.52554635,NA,42.4,NA,21.2,8.3,22.3,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"458","pop","Macaca_assamensis","Assam(ese) Macaque","Phu Khieo Wildlife Sanctuary, Thailand","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,25,10,"none","FFMM","FFMM",1,"groups","ff","yes","AR",11.8,8.3875,NA,1.542724862,1.52554635,NA,42.4,NA,21.2,8.3,22.3,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"459","pop","Macaca_assamensis","Assam(ese) Macaque","Assam, India","Artificial_Forest",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","AR",11.8,8.3875,NA,1.542724862,1.52554635,NA,42.4,NA,21.2,8.3,22.3,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"460","pop","Macaca_assamensis","Assam(ese) Macaque","Nagarjun Forest, Nepal","Forest_Shrubland",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,1,"none","FFMM","FFMM",1,"groups","one","none","AR",11.8,8.3875,NA,1.542724862,1.52554635,NA,42.4,NA,21.2,8.3,22.3,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"461","pop","Macaca_assamensis","Assam(ese) Macaque","Nonggang Nature Reserve, China","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,"none","FFMM","FFMM",1,"groups","one","none","AR",11.8,8.3875,NA,1.542724862,1.52554635,NA,42.4,NA,21.2,8.3,22.3,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"462","sp","Macaca_cyclopis","Taiwanese / Formosan Rock Macaque"," ","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,10,NA,24,NA,NA,NA,NA,NA,NA,5,34,NA,"both","FFMM","FFMM",0.705882353,"groups","ff","yes","BOTH",8.11,5.815,5.47,2.105017815,1.237436867,NA,48.95,NA,19.9,3.2,14.3,4.313351365,NA,6.929646456,NA,NA,0.294117647,9,"Cercopithecoidea"
"463","pop","Macaca_cyclopis","Taiwanese / Formosan Rock Macaque","Kenting National Park, Taiwan","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,9,NA,2,NA,NA,NA,NA,NA,NA,NA,11,2,"wp","MFF","MFF",0.818181818,"groups","ff","yes","BOTH",8.11,5.815,5.47,2.105017815,1.237436867,NA,48.95,NA,19.9,3.2,14.3,4.313351365,NA,6.929646456,NA,NA,0.181818182,2,"Cercopithecoidea"
"464","pop","Macaca_cyclopis","Taiwanese / Formosan Rock Macaque","Mount Longevity, Taiwan","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,22,NA,NA,NA,NA,NA,NA,NA,23,3,"wp","FFMM","FFMM",0.956521739,"groups","ff","none","BOTH",8.11,5.815,5.47,2.105017815,1.237436867,NA,48.95,NA,19.9,3.2,14.3,4.313351365,NA,6.929646456,NA,NA,0.043478261,1,"Cercopithecoidea"
"465","sp","Macaca_fascicularis","Long-tailed/Crab-eating Macaque"," ","Artificial_Forest_Rocky_Wetland",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,7,NA,76,NA,NA,NA,NA,NA,NA,13,83,NA,"both","FFMM","FFMM",0.915662651,"groups","ff","yes","BOTH",5.124,3.186,4.03,0.277182251,0.241826384,NA,33.2,NA,13.93333333,3.966666667,17.2,29.04806362,NA,8.203251388,4.301550108,15.97717121,0.084337349,6,"Cercopithecoidea"
"466","pop","Macaca_fascicularis","Long-tailed/Crab-eating Macaque","Great Nicobar Island","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",5.124,3.186,4.03,0.277182251,0.241826384,NA,33.2,NA,13.93333333,3.966666667,17.2,29.04806362,NA,8.203251388,4.301550108,15.97717121,0,0,"Cercopithecoidea"
"467","pop","Macaca_fascicularis","Long-tailed/Crab-eating Macaque","Uluwatu Temple, Bali","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",5.124,3.186,4.03,0.277182251,0.241826384,NA,33.2,NA,13.93333333,3.966666667,17.2,29.04806362,NA,8.203251388,4.301550108,15.97717121,0,0,"Cercopithecoidea"
"468","pop","Macaca_fascicularis","Long-tailed/Crab-eating Macaque","Ketembe Research Station, Indonesia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,11,1,"none","FFMM","FFMM",1,"groups","ff","none","BOTH",5.124,3.186,4.03,0.277182251,0.241826384,NA,33.2,NA,13.93333333,3.966666667,17.2,29.04806362,NA,8.203251388,4.301550108,15.97717121,0,0,"Cercopithecoidea"
"469","pop","Macaca_fascicularis","Long-tailed/Crab-eating Macaque","Gunung Lesser National Park, Indonesia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,3,NA,11,NA,NA,NA,NA,NA,NA,NA,14,3,"wp","FFMM","FFMM",0.785714286,"groups","ff","yes","BOTH",5.124,3.186,4.03,0.277182251,0.241826384,NA,33.2,NA,13.93333333,3.966666667,17.2,29.04806362,NA,8.203251388,4.301550108,15.97717121,0.214285714,2,"Cercopithecoidea"
"470","pop","Macaca_fascicularis","Long-tailed/Crab-eating Macaque","Mentoko Research Station, Indonesia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"wp","FFMM","FFMM",1,"groups","ff","yes","BOTH",5.124,3.186,4.03,0.277182251,0.241826384,NA,33.2,NA,13.93333333,3.966666667,17.2,29.04806362,NA,8.203251388,4.301550108,15.97717121,0,0,"Cercopithecoidea"
"471","pop","Macaca_fascicularis","Long-tailed/Crab-eating Macaque","Singapore, Malaysia","Artificial_Forest",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,3,NA,25,NA,NA,NA,NA,NA,NA,NA,28,2,"wp","FFMM","FFMM",0.892857143,"groups","one","none","BOTH",5.124,3.186,4.03,0.277182251,0.241826384,NA,33.2,NA,13.93333333,3.966666667,17.2,29.04806362,NA,8.203251388,4.301550108,15.97717121,0.107142857,2,"Cercopithecoidea"
"472","pop","Macaca_fascicularis","Long-tailed/Crab-eating Macaque","Peninsular Malaysia","Artificial_Forest_Wetland",0,1,"closed",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,10,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",5.124,3.186,4.03,0.277182251,0.241826384,NA,33.2,NA,13.93333333,3.966666667,17.2,29.04806362,NA,8.203251388,4.301550108,15.97717121,0,0,"Cercopithecoidea"
"473","pop","Macaca_fascicularis","Long-tailed/Crab-eating Macaque","Padangtegal Monkey Forest, Bali","Artificial_Forest_Wetland",0,1,"closed",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,1,"none","FFMM","FFMM",1,"groups","one","yes","BOTH",5.124,3.186,4.03,0.277182251,0.241826384,NA,33.2,NA,13.93333333,3.966666667,17.2,29.04806362,NA,8.203251388,4.301550108,15.97717121,0,0,"Cercopithecoidea"
"474","pop","Macaca_fascicularis","Long-tailed/Crab-eating Macaque","Padang, West Sumatra, Indonesia","Artificial_Forest_Rocky",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,6,1,"wp","FFMM","FFMM",0.833333333,"groups","one","none","BOTH",5.124,3.186,4.03,0.277182251,0.241826384,NA,33.2,NA,13.93333333,3.966666667,17.2,29.04806362,NA,8.203251388,4.301550108,15.97717121,0.166666667,1,"Cercopithecoidea"
"475","pop","Macaca_fascicularis","Long-tailed/Crab-eating Macaque","Tanjung Puting National Park, Indonesia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",5.124,3.186,4.03,0.277182251,0.241826384,NA,33.2,NA,13.93333333,3.966666667,17.2,29.04806362,NA,8.203251388,4.301550108,15.97717121,0,0,"Cercopithecoidea"
"476","sp","Macaca_fuscata","Japanese Macaque"," ","Forest_Rocky_Shrubland",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,16,20,NA,"none","FFMM","FFMM",1,"groups","ff","yes","BOTH",11.385,8.415,9.5,0.586898628,0.544472222,NA,16.95,17.775,32.5,9.8,2.85,5.586143571,19.48079182,17.67766953,7.353910524,3.606244584,0,0,"Cercopithecoidea"
"477","pop","Macaca_fuscata","Japanese Macaque","Yakushima Island, Japan","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,11,8,"none","FFMM","FFMM",1,"groups","ff","yes","BOTH",11.385,8.415,9.5,0.586898628,0.544472222,NA,16.95,17.775,32.5,9.8,2.85,5.586143571,19.48079182,17.67766953,7.353910524,3.606244584,0,0,"Cercopithecoidea"
"478","pop","Macaca_fuscata","Japanese Macaque","Kinkazan Island, Japan","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,2,"none","FFMM","FFMM",1,"groups","one","none","BOTH",11.385,8.415,9.5,0.586898628,0.544472222,NA,16.95,17.775,32.5,9.8,2.85,5.586143571,19.48079182,17.67766953,7.353910524,3.606244584,0,0,"Cercopithecoidea"
"479","pop","Macaca_fuscata","Japanese Macaque","Kanagawa, Japan","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"wp","FFMM","FFMM",1,"groups","ff","none","BOTH",11.385,8.415,9.5,0.586898628,0.544472222,NA,16.95,17.775,32.5,9.8,2.85,5.586143571,19.48079182,17.67766953,7.353910524,3.606244584,0,0,"Cercopithecoidea"
"480","pop","Macaca_fuscata","Japanese Macaque","Koshima Islet, Japan","Forest_Shrubland",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",11.385,8.415,9.5,0.586898628,0.544472222,NA,16.95,17.775,32.5,9.8,2.85,5.586143571,19.48079182,17.67766953,7.353910524,3.606244584,0,0,"Cercopithecoidea"
"481","pop","Macaca_fuscata","Japanese Macaque","Katsuyama, Japan","Forest_Rocky",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,4,"none","FFMM","FFMM",1,"groups","ff","yes","BOTH",11.385,8.415,9.5,0.586898628,0.544472222,NA,16.95,17.775,32.5,9.8,2.85,5.586143571,19.48079182,17.67766953,7.353910524,3.606244584,0,0,"Cercopithecoidea"
"483","sp","Macaca_leonina","Northern Pig-tailed Macaque"," ","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,3,NA,"none","FFMM","FFMM",1,"groups","one","none","AR",8.065,4.99,6.7,0.586898628,0.084852814,NA,65.9,6.1,6.1,2.1,11.7,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"484","pop","Macaca_leonina","Northern Pig-tailed Macaque","Mo Singto Forest, Khao Yai National Park, Thailand","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,2,"none","FFMM","FFMM",1,"groups","one","none","AR",8.065,4.99,6.7,0.586898628,0.084852814,NA,65.9,6.1,6.1,2.1,11.7,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"485","sp","Macaca_maura","Moor Macaque"," ","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2,4,NA,"none","FFMM","FFMM",1,"groups","one","yes","BOTH",9.026333333,5.571666667,NA,1.016907239,0.475035086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"486","pop","Macaca_maura","Moor Macaque","Karaenta Nature Reserve, Indonesia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",9.026333333,5.571666667,NA,1.016907239,0.475035086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"487","pop","Macaca_maura","Moor Macaque","Bantimurung-Bulusaraung National Park, Indonesia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,1,"none","FFMM","FFMM",1,"groups","ff","yes","BOTH",9.026333333,5.571666667,NA,1.016907239,0.475035086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"488","sp","Macaca_mulatta","Rhesus Macaque"," ","Artificial_Forest_Grassland_Rocky_Shrubland_Wetland",1,1,"both",4,"Diurnal",8,NA,NA,NA,NA,NA,NA,1,NA,45,NA,NA,NA,NA,NA,NA,24,46,NA,"none","FFMM","FFMM",0.97826087,"groups","ff","yes","BOTH",7.345,5.14,5.96,0.502045815,0.282842712,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02173913,0,"Cercopithecoidea"
"489","pop","Macaca_mulatta","Rhesus Macaque","Cayo Santiago, Puerto Rico","Forest",0,1,"closed",1,"Diurnal",8,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,27,14,"none","FFMM","FFMM",1,"groups","ff","yes","BOTH",7.345,5.14,5.96,0.502045815,0.282842712,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"490","pop","Macaca_mulatta","Rhesus Macaque","La Cueva, Puerto Rico","Forest_Wetland",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,3,1,"none","FFMM","FFMM",0.666666667,"groups","one","none","BOTH",7.345,5.14,5.96,0.502045815,0.282842712,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333,0,"Cercopithecoidea"
"491","pop","Macaca_mulatta","Rhesus Macaque","Silver Springs State Park, Florida","Forest_Wetland",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",7.345,5.14,5.96,0.502045815,0.282842712,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"492","pop","Macaca_mulatta","Rhesus Macaque","Borme,  Bengladesh","Artificial_Grassland",1,0,"open",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",7.345,5.14,5.96,0.502045815,0.282842712,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"493","pop","Macaca_mulatta","Rhesus Macaque","Shimla, Himachal Padresh","Artificial",0,0,"",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",7.345,5.14,5.96,0.502045815,0.282842712,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"494","pop","Macaca_mulatta","Rhesus Macaque","Dhaka, Bengladesh","Artificial",0,0,"",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",7.345,5.14,5.96,0.502045815,0.282842712,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"495","pop","Macaca_mulatta","Rhesus Macaque","Neilingding National Nature Reserve, China","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",7.345,5.14,5.96,0.502045815,0.282842712,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"496","pop","Macaca_mulatta","Rhesus Macaque","Henan Taihangshan Macaque National Nature Reserve, China","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",7.345,5.14,5.96,0.502045815,0.282842712,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"497","pop","Macaca_mulatta","Rhesus Macaque","Tughlaqabad, India","Artificial_Grassland_Rocky_Shrubland",1,0,"open",4,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,1,"none","FFMM","FFMM",1,"groups","ff","yes","BOTH",7.345,5.14,5.96,0.502045815,0.282842712,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"498","pop","Macaca_mulatta","Rhesus Macaque","Chakia Forest, Uttar Pradesh","Artificial_Forest",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",7.345,5.14,5.96,0.502045815,0.282842712,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"499","sp","Macaca_munzala","Arunachal Macaque"," ","Forest_Grassland_Shrubland",1,1,"both",3,"Diurnal",2,NA,NA,NA,NA,NA,NA,4,NA,35,NA,NA,NA,NA,NA,NA,4,39,NA,"both","FFMM","FFMM",0.897435897,"groups","one","none","BOTH",15,NA,NA,NA,NA,NA,12.2,NA,25.2,5.15,NA,1.13137085,NA,20.08183259,2.61629509,NA,0.102564103,4,"Cercopithecoidea"
"500","pop","Macaca_munzala","Arunachal Macaque","Tawang District, India","Forest_Grassland_Shrubland",1,1,"both",3,"Diurnal",2,NA,NA,NA,NA,NA,NA,1,NA,16,NA,NA,NA,NA,NA,NA,NA,17,4,"wp","FFMM","FFMM",0.941176471,"groups","one","none","BOTH",15,NA,NA,NA,NA,NA,12.2,NA,25.2,5.15,NA,1.13137085,NA,20.08183259,2.61629509,NA,0.058823529,0,"Cercopithecoidea"
"501","pop","Macaca_munzala","Arunachal Macaque","Kameng District, India","Forest_Grassland_Shrubland",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,6,1,"wp","FFMM","FFMM",0.833333333,"groups","one","none","BOTH",15,NA,NA,NA,NA,NA,12.2,NA,25.2,5.15,NA,1.13137085,NA,20.08183259,2.61629509,NA,0.166666667,1,"Cercopithecoidea"
"502","pop","Macaca_munzala","Arunachal Macaque","Changlang District, India","Forest_Grassland_Shrubland",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,7,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",15,NA,NA,NA,NA,NA,12.2,NA,25.2,5.15,NA,1.13137085,NA,20.08183259,2.61629509,NA,0,0,"Cercopithecoidea"
"503","pop","Macaca_munzala","Arunachal Macaque","Lohit District, India","Forest_Grassland_Shrubland",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,2,NA,7,NA,NA,NA,NA,NA,NA,NA,9,1,"wp","FFMM","FFMM",0.777777778,"groups","one","none","BOTH",15,NA,NA,NA,NA,NA,12.2,NA,25.2,5.15,NA,1.13137085,NA,20.08183259,2.61629509,NA,0.222222222,1,"Cercopithecoidea"
"504","sp","Macaca_nemestrina","Southern/Sunda Pig-tailed Macaque"," ","Forest_Rocky_Wetland",1,1,"both",2,"Diurnal",10,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,2,3,NA,"both","FFMM","FFMM",0.666666667,"groups","one","yes","BOTH",10.43333333,6.156666667,8.89,1.415391583,0.657596634,NA,74.6,NA,8.9,1.1,12.6,NA,NA,NA,NA,NA,0.333333333,0,"Cercopithecoidea"
"505","pop","Macaca_nemestrina","Southern/Sunda Pig-tailed Macaque","Segari Melintang Forest Reserve, Peninsular Malaysia","Forest_Wetland",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","yes","BOTH",10.43333333,6.156666667,8.89,1.415391583,0.657596634,NA,74.6,NA,8.9,1.1,12.6,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"506","pop","Macaca_nemestrina","Southern/Sunda Pig-tailed Macaque","Mount Kerici, Indonesia","Forest_Rocky",1,1,"both",2,"Diurnal",10,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,"wp","MFF","FFMM",0.5,"groups","one","none","BOTH",10.43333333,6.156666667,8.89,1.415391583,0.657596634,NA,74.6,NA,8.9,1.1,12.6,NA,NA,NA,NA,NA,0.5,1,"Cercopithecoidea"
"507","sp","Macaca_nigra","Crested black Macaque"," ","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,3,8,NA,"none","FFMM","FFMM",1,"groups","one","none","T",9.89,5.47,7.68,NA,NA,NA,65.05,2.4,NA,NA,32,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"508","pop","Macaca_nigra","Crested black Macaque","Tangkoko Nature Reserve, Indonesia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,8,3,"none","FFMM","FFMM",1,"groups","one","none","T",9.89,5.47,7.68,NA,NA,NA,65.05,2.4,NA,NA,32,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"512","sp","Macaca_radiata","Bonnet Macaque"," ","Artificial_Forest_Grassland_Rocky",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,4,NA,65,1,NA,NA,NA,NA,NA,12,69,NA,"both","FFMM","FFMM",0.942028986,"groups","ff","yes","BOTH",6.666666667,3.698333333,5.14,0.629330332,0.115484487,NA,47.9,6,26.7,10.2,NA,NA,NA,NA,NA,NA,0.057971014,3,"Cercopithecoidea"
"513","pop","Macaca_radiata","Bonnet Macaque","Ghats, India","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,3,"none","FFMM","FFMM",1,"groups","one","none","BOTH",6.666666667,3.698333333,5.14,0.629330332,0.115484487,NA,47.9,6,26.7,10.2,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"514","pop","Macaca_radiata","Bonnet Macaque","Mysore, India","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,3,NA,31,NA,NA,NA,NA,NA,NA,NA,34,4,"wp","FFMM","FFMM",0.911764706,"groups","one","yes","BOTH",6.666666667,3.698333333,5.14,0.629330332,0.115484487,NA,47.9,6,26.7,10.2,NA,NA,NA,NA,NA,NA,0.088235294,2,"Cercopithecoidea"
