Row,sp.pop,Genus_species,Common_name,Population,Habitat_type,Habitat_open,Habitat_closed,Habitat_cat,Habitat_heterogenity,Activity_pattern,DisperseM,DisperseF,solitaryM,solitaryF,Solitary,MF,MF_adult_off,MFF,FMM,FFMM,FF,MM,Sex_specific_group,Sex_specific_solitaryM,Sex_specific_solitaryF,Sibling,Nbr_of_studies,Nbr_social_units,Nbr_papers_for_each_field_sites,IVSO,Main1,Main2,calculation_main_SO,foraging_style,level_of_society,Disruption,Locomotion,mean_Male_Galan,mean_Female_Galan,mean_other_Galan,sd_Male_Galan,sd_Female_Galan,sd_other_Galan,mean_Fruits_galan,mean_Seeds_galan,mean_Leaves_galan,mean_Flowers_galan,mean_Animal_galan,sd_Fruits_galan,sd_Seeds_galan,sd_Leaves_galan,sd_Flowers_galan,sd_Animals_galan,IVSO_prop,IVSOint,Superfamily,Order,Family,Genus
39,sp,Alouatta_pigra,Central American Black Howler Monkey, ,Forest_Shrubland_Artificial,1,1,both,2,Diurnal,8,NA,NA,NA,NA,6,NA,36,6,39,NA,NA,NA,NA,NA,NA,9,87,NA,both,FFMM,FFMM,0.448275862,groups, ,none,AR,7.505,5.608,6.56,NA,NA,NA,40.8,NA,45.1,10.6,NA,NA,NA,NA,NA,NA,0.551724138,48,Ceboidea,Primates,Atelidae,Alouatta
40,pop,Alouatta_pigra,Central American Black Howler Monkey,"Palenque National Park, Mexico",Forest,0,1,closed,1,Diurnal,NA,NA,NA,NA,NA,NA,NA,4,3,10,NA,NA,NA,NA,NA,NA,NA,17,3,wp,FFMM,FFMM,0.588235294,groups,one,none,AR,7.505,5.608,6.56,NA,NA,NA,40.8,NA,45.1,10.6,NA,NA,NA,NA,NA,NA,0.411764706,7,Ceboidea,Primates,Atelidae,Alouatta
41,pop,Alouatta_pigra,Central American Black Howler Monkey,"Muscapana Tabasco, Mexico",Forest_Shrubland,1,1,both,2,Diurnal,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,none,FFMM,FFMM,1,groups,one,none,AR,7.505,5.608,6.56,NA,NA,NA,40.8,NA,45.1,10.6,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Atelidae,Alouatta
42,pop,Alouatta_pigra,Central American Black Howler Monkey,"Muscapana area, private catle, Mexico",Artificial_Shrubland,1,0,open,2,Diurnal,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,none,MFF,MFF,1,groups,one,none,AR,7.505,5.608,6.56,NA,NA,NA,40.8,NA,45.1,10.6,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Atelidae,Alouatta
43,pop,Alouatta_pigra,Central American Black Howler Monkey,"Mexican state of Campeche, Mexico",Forest_Artificial,0,1,closed,2,Diurnal,NA,NA,NA,NA,NA,1,NA,6,1,11,NA,NA,NA,NA,NA,NA,NA,19,2,wp,FFMM,FFMM,0.578947368,groups,one,none,AR,7.505,5.608,6.56,NA,NA,NA,40.8,NA,45.1,10.6,NA,NA,NA,NA,NA,NA,0.421052632,8,Ceboidea,Primates,Atelidae,Alouatta
44,pop,Alouatta_pigra,Central American Black Howler Monkey,"Leona Vicario, Mexico",Forest_Shrubland,1,1,both,2,Diurnal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,none,FFMM,FFMM,1,groups,one,none,AR,7.505,5.608,6.56,NA,NA,NA,40.8,NA,45.1,10.6,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Atelidae,Alouatta
45,pop,Alouatta_pigra,Central American Black Howler Monkey,"Comunity Baboon Sanctuary and CBWS, Belize",Artificial,0,0,,1,Diurnal,8,NA,NA,NA,NA,5,NA,24,2,15,NA,NA,NA,NA,NA,NA,NA,46,1,wp,MFF,MFF,0.52173913,groups,one,none,AR,7.505,5.608,6.56,NA,NA,NA,40.8,NA,45.1,10.6,NA,NA,NA,NA,NA,NA,0.47826087,22,Ceboidea,Primates,Atelidae,Alouatta
46,sp,Alouatta_sara,Bolivian Red Howler Monkey, ,Forest,0,1,closed,1,Diurnal,NA,NA,NA,NA,NA,5,NA,11,NA,11,NA,NA,NA,NA,NA,NA,1,27,NA,wp,MFF,FFMM,0.407407407,groups,one,none,AR,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.592592593,16,Ceboidea,Primates,Atelidae,Alouatta
47,pop,Alouatta_sara,Bolivian Red Howler Monkey,"Santa Rosa del Sara y Buena Vista, Bolivia",Forest,0,1,closed,1,Diurnal,NA,NA,NA,NA,NA,5,NA,11,NA,11,NA,NA,NA,NA,NA,NA,NA,27,1,wp,MFF,FFMM,0.407407407,groups,one,none,AR,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.592592593,16,Ceboidea,Primates,Atelidae,Alouatta
48,sp,Alouatta_seniculus,Colombian Red Howler Monkey, , ,0,0,,2,Diurnal,NA,NA,NA,NA,NA,1,NA,1,NA,17,NA,NA,NA,NA,NA,NA,5,19,NA,both,FFMM,FFMM,0.894736842,groups,one,none,AR,6.66,5.18,6.01,NA,NA,0.127279221,42.3,NA,52.1,5.4,NA,NA,NA,NA,NA,NA,0.105263158,2,Ceboidea,Primates,Atelidae,Alouatta
49,pop,Alouatta_seniculus,Colombian Red Howler Monkey,"La Montana de Ocaso, Colombian Andes",Forest,0,1,closed,1,Diurnal,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,9,1,none,FFMM,FFMM,1,groups,one,none,AR,6.66,5.18,6.01,NA,NA,0.127279221,42.3,NA,52.1,5.4,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Atelidae,Alouatta
50,pop,Alouatta_seniculus,Colombian Red Howler Monkey,"Hato Masaguaral, Venezuela",Forest,0,1,closed,1,Diurnal,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,4,2,wp,FFMM,FFMM,0.75,groups,one,none,AR,6.66,5.18,6.01,NA,NA,0.127279221,42.3,NA,52.1,5.4,NA,NA,NA,NA,NA,NA,0.25,1,Ceboidea,Primates,Atelidae,Alouatta
51,pop,Alouatta_seniculus,Colombian Red Howler Monkey,"El Frio, Venezuela",Forest,0,1,closed,1,Diurnal,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,1,none,FFMM,FFMM,1,groups,one,none,AR,6.66,5.18,6.01,NA,NA,0.127279221,42.3,NA,52.1,5.4,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Atelidae,Alouatta
