rowid,dataset,rep,primateMRCA,model,DG,DP,G,P,S,tree
304,2,52,68,fitSYM,0,0,0.04500222129058202,0.34945598947675266,0.6055417892326653,Olivier et al
305,2,53,56,fitSYM,0,0,0.4232657111623973,0.5280841196619696,0.048650169175633154,Kuderna et al
306,2,53,68,fitSYM,0,0,0.019070820983165353,0.14522778648805532,0.8357013925287794,Olivier et al
307,2,54,56,fitSYM,0,0,0.4232657111806955,0.5280841196450228,0.048650169174281756,Kuderna et al
308,2,54,68,fitSYM,0,0,0.07748158693765873,0.4407315266845387,0.4817868863778027,Olivier et al
309,2,55,56,fitSYM,0,0,0.44906542681725853,0.49974091719652525,0.051193655986216155,Kuderna et al
310,2,55,68,fitSYM,0,0,0.06083040910806826,0.3233542796313806,0.6158153112605511,Olivier et al
311,2,56,56,fitSYM,0,0,0.5315810365223814,0.45615520192947356,0.012263761548144906,Kuderna et al
312,2,56,68,fitSYM,0,0,0.05206702154678551,0.44067643631004777,0.5072565421431668,Olivier et al
313,2,57,56,fitSYM,0,0,0.34435038493095105,0.586790438652385,0.06885917641666389,Kuderna et al
314,2,57,68,fitSYM,0,0,0.07307432895962257,0.40886578027069864,0.5180598907696787,Olivier et al
315,2,58,56,fitSYM,0,0,0.423265711163281,0.5280841196625093,0.04865016917420965,Kuderna et al
316,2,58,68,fitSYM,0,0,0.052090389323555614,0.3571157218792313,0.5907938887972131,Olivier et al
317,2,59,56,fitSYM,0,0,0.5315810366410961,0.4561552018035767,0.012263761555327305,Kuderna et al
318,2,59,68,fitSYM,0,0,0.07516988480870776,0.40631099499301176,0.5185191201982805,Olivier et al
319,2,60,56,fitSYM,0,0,0.42326571108058186,0.5280841197480439,0.048650169171374234,Kuderna et al
320,2,60,68,fitSYM,0,0,0.06225173262750255,0.3349015954848761,0.6028466718876213,Olivier et al
321,2,61,56,fitSYM,0,0,0.5863135602361257,0.40243346762016113,0.011252972143713085,Kuderna et al
322,2,61,68,fitSYM,0,0,0.017586333283968875,0.14224109065629567,0.8401725760597355,Olivier et al
323,2,62,56,fitSYM,0,0,0.5752324384274469,0.4147052826346419,0.010062278937911123,Kuderna et al
324,2,62,68,fitSYM,0,0,0.07321353824589062,0.26215817738704666,0.6646282843670628,Olivier et al
325,2,63,56,fitSYM,0,0,0.3697218804775294,0.5717444696298849,0.05853364989258575,Kuderna et al
326,2,63,68,fitSYM,0,0,0.01964438378876271,0.15390014658469056,0.8264554696265467,Olivier et al
327,2,64,56,fitSYM,0,0,0.5578953642283786,0.42945378558888664,0.012650850182734687,Kuderna et al
328,2,64,68,fitSYM,0,0,0.022360939137040885,0.16443656376185406,0.813202497101105,Olivier et al
329,2,65,56,fitSYM,0,0,0.5863135607445562,0.4024334671229195,0.011252972132524333,Kuderna et al
330,2,65,68,fitSYM,0,0,0.09277577224882305,0.3625303391356264,0.5446938886155506,Olivier et al
331,2,66,56,fitSYM,0,0,0.40755852830933553,0.5357868211134665,0.05665465057719796,Kuderna et al
332,2,66,68,fitSYM,0,0,0.053646074846453014,0.3356911955404968,0.6106627296130502,Olivier et al
333,2,67,56,fitSYM,0,0,0.5752324385576055,0.4147052824980768,0.010062278944317738,Kuderna et al
334,2,67,68,fitSYM,0,0,0.02435262801013489,0.18376061965315418,0.791886752336711,Olivier et al
335,2,68,56,fitSYM,0,0,0.44906542673773087,0.499740917287279,0.051193655974990045,Kuderna et al
336,2,68,68,fitSYM,0,0,0.06361251789451151,0.33332183558464357,0.6030656465208449,Olivier et al
337,2,69,56,fitSYM,0,0,0.39726504885285,0.5440463023791325,0.05868864876801746,Kuderna et al
338,2,69,68,fitSYM,0,0,0.089550245385233,0.4110586338798376,0.4993911207349295,Olivier et al
339,2,70,56,fitSYM,0,0,0.5863135601415135,0.4024334677160472,0.011252972142439352,Kuderna et al
340,2,70,68,fitSYM,0,0,0.04933418781244893,0.3517657104302454,0.5989001017573057,Olivier et al
341,2,71,56,fitSYM,0,0,0.41812360332750265,0.5193197675149691,0.06255662915752817,Kuderna et al
342,2,71,68,fitSYM,0,0,0.10073126883508848,0.3390539188714231,0.5602148122934885,Olivier et al
343,2,72,56,fitSYM,0,0,0.3944427874790536,0.543610301149278,0.06194691137166832,Kuderna et al
344,2,72,68,fitSYM,0,0,0.06336856981276706,0.32714969162551716,0.6094817385617157,Olivier et al
345,2,73,56,fitSYM,0,0,0.449065426794756,0.49974091722126834,0.05119365598397571,Kuderna et al
346,2,73,68,fitSYM,0,0,0.020791309029734056,0.14985243324702413,0.8293562577232418,Olivier et al
347,2,74,56,fitSYM,0,0,0.44906542675632094,0.4997409172621337,0.051193655981545357,Kuderna et al
348,2,74,68,fitSYM,0,0,0.014214567897132442,0.13941288033636468,0.8463725517665028,Olivier et al
349,2,75,56,fitSYM,0,0,0.3972650489104103,0.5440463023049447,0.058688648784645116,Kuderna et al
350,2,75,68,fitSYM,0,0,0.00886543028631639,0.22583695338413737,0.7652976163295463,Olivier et al
351,2,76,56,fitSYM,0,0,0.4232657111508642,0.528084119668534,0.04865016918060188,Kuderna et al
352,2,76,68,fitSYM,0,0,0.06585564198738388,0.31676874665843724,0.6173756113541788,Olivier et al
353,2,77,56,fitSYM,0,0,0.42326571119032014,0.5280841196344873,0.04865016917519263,Kuderna et al
354,2,77,68,fitSYM,0,0,0.07698623335302258,0.320809696148589,0.6022040704983884,Olivier et al
355,2,78,56,fitSYM,0,0,0.42326571121879947,0.5280841196069758,0.04865016917422464,Kuderna et al
356,2,78,68,fitSYM,0,0,0.019942050637356937,0.15732351608387174,0.8227344332787713,Olivier et al
357,2,79,56,fitSYM,0,0,0.5388722493515369,0.4496092023085663,0.011518548339896873,Kuderna et al
358,2,79,68,fitSYM,0,0,0.015289614863019177,0.11670707437400771,0.8680033107629731,Olivier et al
359,2,80,56,fitSYM,0,0,0.3697218806274615,0.571744469510963,0.058533649861575505,Kuderna et al
360,2,80,68,fitSYM,0,0,0.06588074442449862,0.32677303635101607,0.6073462192244853,Olivier et al
361,2,81,56,fitSYM,0,0,0.38550481193470293,0.5464867012812097,0.06800848678408739,Kuderna et al
362,2,81,68,fitSYM,0,0,0.061256239658557705,0.33739415255808636,0.601349607783356,Olivier et al
363,2,82,56,fitSYM,0,0,0.5863135610478791,0.4024334668300073,0.011252972122113566,Kuderna et al
364,2,82,68,fitSYM,0,0,0.10037093827486988,0.37261190876898737,0.5270171529561428,Olivier et al
